name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Xavier Restrepo,null,WR,null,12649,12520,UNK,1525,199,67,-77
Nick Chubb,CLE,RB,29.2,4188,4988,13610,1524,200,57,58
Dallas Goedert,PHI,TE,30.2,5988,5022,13674,1516,201,21,2
2026 Round 2,null,PICK,null,9663,FP_2026_2,FP_2026_2,1510,202,31,-69
Ray Davis,BUF,RB,25.4,11699,11575,16603,1505,203,58,-63
Tez Johnson,null,WR,null,12667,12485,UNK,1504,204,68,-68
Cedric Tillman,CLE,WR,24.9,9904,10444,16191,1492,205,69,-166
2025 Pick 3.03,null,PICK,null,15684,DP_2_2,DP_2_2,1485,206,32,-69
Cole Kmet,CHI,TE,26,4857,6826,14867,1483,207,22,-130
Jordan James,null,RB,null,12657,12467,UNK,1462,208,59,-39
Jerome Ford,CLE,RB,25.5,8319,8143,15713,1454,209,60,-297
Anthony Richardson,IND,QB,22.8,9951,9229,16152,1453,210,27,-327
2027 Round 2,null,PICK,null,9693,FP_2027_2,FP_2027_2,1452,211,33,-40
Ben Sinnott,WAS,TE,22.8,11746,11596,16644,1451,212,23,88
2025 Pick 3.04,null,PICK,null,15685,DP_2_3,DP_2_3,1443,213,34,-68
Ja'Tavion Sanders,CAR,TE,22,11714,11600,16643,1435,214,24,-77
Adonai Mitchell,IND,WR,22.4,11711,11625,16626,1419,215,70,-105
Wan'Dale Robinson,NYG,WR,24.2,4091,8126,15757,1409,216,71,-87
2025 Pick 3.05,null,PICK,null,15686,DP_2_4,DP_2_4,1403,217,35,-67
Elijah Arroyo,null,TE,null,12650,12521,UNK,1395,218,25,-59
Rashod Bateman,BAL,WR,25.3,7410,7571,15293,1393,219,72,-66
Amari Cooper,BUF,WR,30.8,2301,2309,12175,1384,220,73,-172
Jalen Coker,CAR,WR,23.4,11783,11646,16809,1383,221,74,-97
Tyler Allgeier,ATL,RB,24.9,6408,8132,15712,1370,222,61,-196
2025 Pick 3.06,null,PICK,null,15687,DP_2_5,DP_2_5,1366,223,36,-65
